a52dec 0.7.4-11
acl 2.3.1-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-serif-pro-fonts 4.004-1
adwaita-icon-theme 40.1.1-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
android-studio 4.2.1.0-1
aom 3.1.1-1
appmenu-gtk-module 0.7.6-1
arandr 0.1.10-6
arc-gtk-theme 20210412-1
archlinux-keyring 20210616-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.2-1
atk 2.36.0-1
atkmm 2.28.2-2
atool 0.39.0-7
attr 2.5.1-1
audit 3.0.2-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
babl 0.1.86-1
bash 5.1.008-1
bat 0.18.1-1
bc 1.07.1-4
betterdiscord-installer 1.0.0.beta-2
binutils 2.36.1-3
bison 3.7.6-1
blas 3.9.1-1
blueman 2.1.4-1
bluez 5.59-2
bluez-libs 5.59-2
bluez-utils 5.59-2
boost-libs 1.76.0-1
box2d 2.4.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-4
btrfs-progs 5.12.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.67-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairo-perl 1.108-1
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
chromaprint 1.5.0-3
cifs-utils 6.13-2
clucene 2.3.3.4-11
cmake 3.20.5-1
conky 1.12.2-1
coreutils 8.32-1
cpupower 5.12-1
cryptsetup 2.3.6-1
curl 7.77.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dbus-python 1.2.16-4
dconf 0.40.0-1
deluge 2.0.4.dev56+g2e466101f-1
deluge-gtk 2.0.4.dev56+g2e466101f-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dhcpcd 9.4.0-1
dialog 1:1.3_20210530-1
diffutils 3.7-3
discord 0.0.15-1
djvulibre 3.5.28-3
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
dunst 1.6.1-2
e2fsprogs 1.46.2-1
efibootmgr 17-2
efivar 37-4
elementary-icon-theme 5.3.1-1
elfutils 0.185-1
exa 0.10.1-1
exiv2 0.27.4-2
exo 4.16.2-1
expat 2.4.1-1
faad2 2.10.0-1
fakeroot 1.25.3-2
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.40-5
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox 89.0.2-1
flac 1.3.3-3
flex 2.6.4-3
fontconfig 2:2.13.93-4
fontpreview-git 1.0.6.r5.g467befa-1
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.4-1
fuse2 2.9.9-4
fzf 0.27.2-1
garcon 4.16.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gd 2.3.2-4
gdbm 1.19-2
gdk-pixbuf2 2.42.6-1
gegl 0.4.30-3
geoip 1.6.12-2
geoip-database 20210622-1
gettext 0.21-1
ghostscript 9.54.0-2
giblib 1.2.4-8
giflib 5.2.1-2
gimp 2.10.24-4
girara 0.3.5-1
git 2.32.0-1
glib-networking 1:2.68.1-1
glib-perl 1.329.3-2
glib2 2.68.3-1
glibc 2.33-5
glibmm 2.66.1-2
